image_name,intensity_betti_0,intensity_betti_1,edt_betti_0,edt_betti_1,method_difference_total,better_method,threshold,superlevel
Fluroscent_Yellow_gaussian_0.05,9618,44,1,865,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.08,9609,30,1,863,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.10,9626,34,1,864,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_salt_pepper_0.01,18158,262,1,1596,0,unknown,0.2627450980392157,True
Fluroscent_Yellow_salt_pepper_0.03,34508,474,1,2472,0,unknown,0.33725490196078434,True
Fluroscent_Yellow_salt_pepper_0.05,49424,639,1,2878,0,unknown,0.396078431372549,True
Fluroscent_Yellow_salt_pepper_0.08,65686,25,1,3445,0,unknown,0.4470588235294118,True
Fluroscent_Yellow_salt_pepper_0.10,76447,33,1,4280,0,unknown,0.4627450980392157,True
Fluroscent_Yellow_gaussian_0.01_median_filter,5171,0,1,768,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_gaussian_0.01_bilateral_filter,4272,0,1,649,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.01_non_local_means,1619,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.01_topological,1619,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.01_morphological,1619,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.03_median_filter,5185,0,1,780,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_gaussian_0.03_bilateral_filter,4270,0,1,649,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.03_non_local_means,1621,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.03_topological,1621,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.03_morphological,1621,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.05_median_filter,5169,0,1,759,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_gaussian_0.05_bilateral_filter,4280,0,1,649,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.05_non_local_means,1620,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.05_topological,1620,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.05_morphological,1620,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.08_median_filter,5171,0,1,755,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_gaussian_0.08_bilateral_filter,4270,0,1,648,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.08_non_local_means,1620,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.08_topological,1620,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.08_morphological,1620,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.10_median_filter,5186,0,1,746,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_gaussian_0.10_bilateral_filter,4267,0,1,648,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.10_non_local_means,1622,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.10_topological,1622,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_gaussian_0.10_morphological,1622,0,1,465,0,unknown,0.21176470588235294,True
Fluroscent_Yellow_salt_pepper_0.01_median_filter,5188,0,1,811,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_salt_pepper_0.01_bilateral_filter,13187,2,1,1002,0,unknown,0.24705882352941178,True
Fluroscent_Yellow_salt_pepper_0.01_non_local_means,1648,42,1,466,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_salt_pepper_0.01_topological,1648,42,1,466,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_salt_pepper_0.01_morphological,1648,42,1,466,0,unknown,0.21568627450980393,True
Fluroscent_Yellow_salt_pepper_0.03_median_filter,5198,0,1,781,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_salt_pepper_0.03_bilateral_filter,29828,5,1,1558,0,unknown,0.29411764705882354,True
Fluroscent_Yellow_salt_pepper_0.03_non_local_means,1868,141,1,463,0,unknown,0.2235294117647059,True
Fluroscent_Yellow_salt_pepper_0.03_topological,1868,141,1,463,0,unknown,0.2235294117647059,True
Fluroscent_Yellow_salt_pepper_0.03_morphological,1868,141,1,463,0,unknown,0.2235294117647059,True
Fluroscent_Yellow_salt_pepper_0.05_median_filter,5210,0,1,808,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_salt_pepper_0.05_bilateral_filter,45113,45,1,2070,0,unknown,0.33725490196078434,True
Fluroscent_Yellow_salt_pepper_0.05_non_local_means,2202,319,1,462,0,unknown,0.22745098039215686,True
Fluroscent_Yellow_salt_pepper_0.05_topological,2202,319,1,462,0,unknown,0.22745098039215686,True
Fluroscent_Yellow_salt_pepper_0.05_morphological,2202,319,1,462,0,unknown,0.22745098039215686,True
Fluroscent_Yellow_salt_pepper_0.08_median_filter,5247,0,1,811,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_salt_pepper_0.08_bilateral_filter,63721,19,1,3009,0,unknown,0.39215686274509803,True
Fluroscent_Yellow_salt_pepper_0.08_non_local_means,2955,1137,1,462,0,unknown,0.23529411764705882,True
Fluroscent_Yellow_salt_pepper_0.08_topological,2955,1137,1,462,0,unknown,0.23529411764705882,True
Fluroscent_Yellow_salt_pepper_0.08_morphological,2955,1137,1,462,0,unknown,0.23529411764705882,True
Fluroscent_Yellow_salt_pepper_0.10_median_filter,5277,0,1,750,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_salt_pepper_0.10_bilateral_filter,74918,36,1,3855,0,unknown,0.41568627450980394,True
Fluroscent_Yellow_salt_pepper_0.10_non_local_means,3376,1861,1,470,0,unknown,0.23921568627450981,True
Fluroscent_Yellow_salt_pepper_0.10_topological,3376,1861,1,470,0,unknown,0.23921568627450981,True
Fluroscent_Yellow_salt_pepper_0.10_morphological,3376,1861,1,470,0,unknown,0.23921568627450981,True
MouseSlice_clean,188,178,3,5,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.01,181,169,3,5,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.03,180,168,3,5,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.05,188,171,3,5,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.08,185,168,3,5,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.10,183,170,3,5,0,unknown,0.4666666666666667,False
MouseSlice_salt_pepper_0.01,309,292,3,5,0,unknown,0.4627450980392157,False
MouseSlice_salt_pepper_0.03,566,560,3,5,0,unknown,0.44313725490196076,False
MouseSlice_salt_pepper_0.05,829,831,3,5,0,unknown,0.44313725490196076,False
MouseSlice_salt_pepper_0.08,1183,1259,2,5,0,unknown,0.43137254901960786,False
MouseSlice_salt_pepper_0.10,1440,1530,1,3,0,unknown,0.43137254901960786,False
MouseSlice_gaussian_0.01_median_filter,123,83,2,3,0,unknown,0.4627450980392157,False
MouseSlice_gaussian_0.01_bilateral_filter,71,44,1,3,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.01_non_local_means,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.01_topological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.01_morphological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.03_median_filter,123,78,2,3,0,unknown,0.4627450980392157,False
MouseSlice_gaussian_0.03_bilateral_filter,72,41,1,3,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.03_non_local_means,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.03_topological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.03_morphological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.05_median_filter,123,84,2,3,0,unknown,0.4627450980392157,False
MouseSlice_gaussian_0.05_bilateral_filter,71,42,1,3,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.05_non_local_means,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.05_topological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.05_morphological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.08_median_filter,128,83,2,3,0,unknown,0.4627450980392157,False
MouseSlice_gaussian_0.08_bilateral_filter,70,40,1,3,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.08_non_local_means,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.08_topological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.08_morphological,15,1,1,2,0,unknown,0.5372549019607843,False
