image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
C_single_ring_salt_pepper_0.01_topological,1,1,2,82
C_single_ring_salt_pepper_0.01_morphological,1,1,2,82
C_single_ring_salt_pepper_0.03_median_filter,1,1,1,1
C_single_ring_salt_pepper_0.03_bilateral_filter,2879,762,2,33
C_single_ring_salt_pepper_0.03_non_local_means,7,1,2,75
C_single_ring_salt_pepper_0.03_topological,7,1,2,75
C_single_ring_salt_pepper_0.03_morphological,7,1,2,75
C_single_ring_salt_pepper_0.05_median_filter,1,1,1,1
C_single_ring_salt_pepper_0.05_bilateral_filter,4556,1215,2,46
C_single_ring_salt_pepper_0.05_non_local_means,12,1,2,76
C_single_ring_salt_pepper_0.05_topological,12,1,2,76
C_single_ring_salt_pepper_0.05_morphological,12,1,2,76
C_single_ring_salt_pepper_0.08_median_filter,1,1,1,1
C_single_ring_salt_pepper_0.08_bilateral_filter,6604,1861,2,79
C_single_ring_salt_pepper_0.08_non_local_means,27,7,2,45
C_single_ring_salt_pepper_0.08_topological,27,7,2,45
C_single_ring_salt_pepper_0.08_morphological,27,7,2,45
C_single_ring_salt_pepper_0.10_median_filter,1,1,1,1
C_single_ring_salt_pepper_0.10_bilateral_filter,7952,2222,2,109
C_single_ring_salt_pepper_0.10_non_local_means,30,14,2,62
C_single_ring_salt_pepper_0.10_topological,30,14,2,62
C_single_ring_salt_pepper_0.10_morphological,30,14,2,62
D_many_rings_clean,1,41,1,1
D_many_rings_gaussian_0.01,1,41,1,1
D_many_rings_gaussian_0.03,1,41,1,1
D_many_rings_gaussian_0.05,1,41,30,779
D_many_rings_gaussian_0.08,1,41,30,779
D_many_rings_gaussian_0.10,1,41,30,773
D_many_rings_salt_pepper_0.01,889,381,1,1
D_many_rings_salt_pepper_0.03,2472,1015,1,1
D_many_rings_salt_pepper_0.05,3905,1619,1,1
D_many_rings_salt_pepper_0.08,5679,2456,1,1
D_many_rings_salt_pepper_0.10,6810,2936,1,1
D_many_rings_gaussian_0.01_median_filter,1,28,1,1
D_many_rings_gaussian_0.01_bilateral_filter,1,41,30,779
D_many_rings_gaussian_0.01_non_local_means,51,28,25,158
D_many_rings_gaussian_0.01_topological,51,28,25,158
D_many_rings_gaussian_0.01_morphological,51,28,25,158
D_many_rings_gaussian_0.03_median_filter,1,28,1,1
D_many_rings_gaussian_0.03_bilateral_filter,1,41,30,779
D_many_rings_gaussian_0.03_non_local_means,51,28,25,158
D_many_rings_gaussian_0.03_topological,51,28,25,158
D_many_rings_gaussian_0.03_morphological,51,28,25,158
D_many_rings_gaussian_0.05_median_filter,1,28,1,1
D_many_rings_gaussian_0.05_bilateral_filter,1,41,30,779
D_many_rings_gaussian_0.05_non_local_means,51,28,25,158
D_many_rings_gaussian_0.05_topological,51,28,25,158
D_many_rings_gaussian_0.05_morphological,51,28,25,158
D_many_rings_gaussian_0.08_median_filter,1,28,1,1
D_many_rings_gaussian_0.08_bilateral_filter,1,41,30,779
D_many_rings_gaussian_0.08_non_local_means,51,28,25,158
D_many_rings_gaussian_0.08_topological,51,28,25,158
D_many_rings_gaussian_0.08_morphological,51,28,25,158
D_many_rings_gaussian_0.10_median_filter,1,28,30,805
D_many_rings_gaussian_0.10_bilateral_filter,1,41,30,779
D_many_rings_gaussian_0.10_non_local_means,51,28,25,158
D_many_rings_gaussian_0.10_topological,51,28,25,158
D_many_rings_gaussian_0.10_morphological,51,28,25,158
D_many_rings_salt_pepper_0.01_median_filter,1,28,1,1
D_many_rings_salt_pepper_0.01_bilateral_filter,889,381,30,742
D_many_rings_salt_pepper_0.01_non_local_means,52,28,25,196
D_many_rings_salt_pepper_0.01_topological,52,28,25,196
D_many_rings_salt_pepper_0.01_morphological,52,28,25,196
D_many_rings_salt_pepper_0.03_median_filter,1,28,1,1
D_many_rings_salt_pepper_0.03_bilateral_filter,2472,1015,30,705
D_many_rings_salt_pepper_0.03_non_local_means,53,28,25,175
D_many_rings_salt_pepper_0.03_topological,53,28,25,175
D_many_rings_salt_pepper_0.03_morphological,53,28,25,175
D_many_rings_salt_pepper_0.05_median_filter,1,28,1,1
D_many_rings_salt_pepper_0.05_bilateral_filter,3905,1619,30,662
D_many_rings_salt_pepper_0.05_non_local_means,57,28,25,152
D_many_rings_salt_pepper_0.05_topological,57,28,25,152
D_many_rings_salt_pepper_0.05_morphological,57,28,25,152
D_many_rings_salt_pepper_0.08_median_filter,1,28,1,1
D_many_rings_salt_pepper_0.08_bilateral_filter,5679,2456,31,664
D_many_rings_salt_pepper_0.08_non_local_means,70,33,25,205
D_many_rings_salt_pepper_0.08_topological,70,33,25,205
D_many_rings_salt_pepper_0.08_morphological,70,33,25,205
D_many_rings_salt_pepper_0.10_median_filter,1,28,1,1
D_many_rings_salt_pepper_0.10_bilateral_filter,6810,2936,30,682
D_many_rings_salt_pepper_0.10_non_local_means,65,34,25,185
D_many_rings_salt_pepper_0.10_topological,65,34,25,185
D_many_rings_salt_pepper_0.10_morphological,65,34,25,185
E_tree_branch_clean,1,0,1,1
E_tree_branch_gaussian_0.01,1,0,1,1
E_tree_branch_gaussian_0.03,1,0,1,1
E_tree_branch_gaussian_0.05,1,0,1,1
